isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,content,text,title_norm
9780002261982,2261987,Spider's Web,a novel,charles osborneagatha christie,Detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a new christie for christmas a fulllength novel adapted from her acclaimed play by charles osborne following black coffee and the unexpected guest comes the final agatha christie play novelisation bringing her superb storytelling to a new legion of fans clarissa the wife of a foreign office diplomat is given to daydreaming supposing i were to come down one morning and find a dead body in the library what should i do she muses clarissa has her chance to find out when she discovers a body in the drawingroom of her house in kent desperate to dispose of the body before her husband comes home with an important foreign politician clarissa persuades her three house guests to become accessories and accomplices it seems that the murdered man was not unknown to certain members of the house party but which ones and the search begins for the murderer and the motive while at the same time trying to persuade a police inspector that there has been no murder at all spiders web was written in 1954 specifically for margaret lockwood and opened first at the theatre royal nottingham before moving to the savoy theatre in london on 14 december 1954 with the mousetrap and wi,20000,3.83,241.0,5164.0,Spider's Web a novel Detective and mystery stories a new christie for christmas a fulllength novel adapted from her acclaimed play by charles osborne following black coffee and the unexpected guest comes the final agatha christie play novelisation bringing her superb storytelling to a new legion of fans clarissa the wife of a foreign office diplomat is given to daydreaming supposing i were to come down one morning and find a dead body in the library what should i do she muses clarissa has her chance to find out when she discovers a body in the drawingroom of her house in kent desperate to dispose of the body before her husband comes home with an important foreign politician clarissa persuades her three house guests to become accessories and accomplices it seems that the murdered man was not unknown to certain members of the house party but which ones and the search begins for the murderer and the motive while at the same time trying to persuade a police inspector that there has been no murder at all spiders web was written in 1954 specifically for margaret lockwood and opened first at the theatre royal nottingham before moving to the savoy theatre in london on 14 december 1954 with the mousetrap and wi,Spider's Web a novel Detective and mystery stories a new christie for christmas a fulllength novel adapted from her acclaimed play by charles osborne following black coffee and the unexpected guest comes the final agatha christie play novelisation bringing her superb storytelling to a new legion of fans clarissa the wife of a foreign office diplomat is given to daydreaming supposing i were to come down one morning and find a dead body in the library what should i do she muses clarissa has her chance to find out when she discovers a body in the drawingroom of her house in kent desperate to dispose of the body before her husband comes home with an important foreign politician clarissa persuades her three house guests to become accessories and accomplices it seems that the murdered man was not unknown to certain members of the house party but which ones and the search begins for the murderer and the motive while at the same time trying to persuade a police inspector that there has been no murder at all spiders web was written in 1954 specifically for margaret lockwood and opened first at the theatre royal nottingham before moving to the savoy theatre in london on 14 december 1954 with the mousetrap and wi,Spider's Web
9780006380832,6380832,Empires of the Monsoon,a history of the indian ocean and its invaders,richard hall,"Africa, East",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,until vasco da gama discovered the searoute to the east in 14979 almost nothing was known in the west of the exotic cultures and wealth of the indian ocean and its peoples it is this civilization and its destruction at the hands of the west that richard hall recreates in this book halls history of the exploration and exploitation by chinese and arab travellers and by the portuguese dutch and british alike is one of brutality betrayal and colonial ambition,19980,4.41,608.0,65.0,"Empires of the Monsoon a history of the indian ocean and its invaders Africa, East until vasco da gama discovered the searoute to the east in 14979 almost nothing was known in the west of the exotic cultures and wealth of the indian ocean and its peoples it is this civilization and its destruction at the hands of the west that richard hall recreates in this book halls history of the exploration and exploitation by chinese and arab travellers and by the portuguese dutch and british alike is one of brutality betrayal and colonial ambition","Empires of the Monsoon a history of the indian ocean and its invaders Africa, East until vasco da gama discovered the searoute to the east in 14979 almost nothing was known in the west of the exotic cultures and wealth of the indian ocean and its peoples it is this civilization and its destruction at the hands of the west that richard hall recreates in this book halls history of the exploration and exploitation by chinese and arab travellers and by the portuguese dutch and british alike is one of brutality betrayal and colonial ambition",Empires of the Monsoon
9780006470229,000647022X,The Gap Into Madness,chaos and order,stephen r donaldson,"Hyland, Morn (Fictitious character)",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a newcover reissue of the fourth book in the bestselling fivevolume sf series created by the worldfamous author of the thomas covenant chronicles and acclaimed as the best work of his career events were not moving as the amnion had intended once again humans had been false in their dealings with the aliens as the planetoid thanatos minor exploded into atoms the trumpet hurtled into space only one step ahead of hostile pursuers on board were morn hyland and her forcegrown son davies cyborg angus thermopyle and captain nick succorso old enemies thrown together in a desperate bid for survival for both the amnion and the umcp the immediate capture of the fleeing ship and the secrets it contained was imperative but for trumpets exhausted crew the only hope lay in an illegal lab in the distant binary solar system of valdor industrial it would be a journey of unpredictable danger from which not all would return,19940,4.15,743.0,103.0,"The Gap Into Madness chaos and order Hyland, Morn (Fictitious character) a newcover reissue of the fourth book in the bestselling fivevolume sf series created by the worldfamous author of the thomas covenant chronicles and acclaimed as the best work of his career events were not moving as the amnion had intended once again humans had been false in their dealings with the aliens as the planetoid thanatos minor exploded into atoms the trumpet hurtled into space only one step ahead of hostile pursuers on board were morn hyland and her forcegrown son davies cyborg angus thermopyle and captain nick succorso old enemies thrown together in a desperate bid for survival for both the amnion and the umcp the immediate capture of the fleeing ship and the secrets it contained was imperative but for trumpets exhausted crew the only hope lay in an illegal lab in the distant binary solar system of valdor industrial it would be a journey of unpredictable danger from which not all would return","The Gap Into Madness chaos and order Hyland, Morn (Fictitious character) a newcover reissue of the fourth book in the bestselling fivevolume sf series created by the worldfamous author of the thomas covenant chronicles and acclaimed as the best work of his career events were not moving as the amnion had intended once again humans had been false in their dealings with the aliens as the planetoid thanatos minor exploded into atoms the trumpet hurtled into space only one step ahead of hostile pursuers on board were morn hyland and her forcegrown son davies cyborg angus thermopyle and captain nick succorso old enemies thrown together in a desperate bid for survival for both the amnion and the umcp the immediate capture of the fleeing ship and the secrets it contained was imperative but for trumpets exhausted crew the only hope lay in an illegal lab in the distant binary solar system of valdor industrial it would be a journey of unpredictable danger from which not all would return",The Gap Into Madness
9780006499626,6499627,Miss Marple,the complete short stories,agatha christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,miss marple featured in 20 short stories published in a number of different collections in britain and america presented here in their order of publication miss marple uses her unique insight to deduce the truth about a series of unsolved crimes,19970,4.2,359.0,6235.0,"Miss Marple the complete short stories Detective and mystery stories, English miss marple featured in 20 short stories published in a number of different collections in britain and america presented here in their order of publication miss marple uses her unique insight to deduce the truth about a series of unsolved crimes","Miss Marple the complete short stories Detective and mystery stories, English miss marple featured in 20 short stories published in a number of different collections in britain and america presented here in their order of publication miss marple uses her unique insight to deduce the truth about a series of unsolved crimes",Miss Marple
9780006551812,6551815,Tis,a memoir,frank mccourt,Ireland,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,from the pulizer prizewinning author of the 1 new york times bestseller angelas ashes frank mccourts glorious childhood memoir angelas ashes has been loved and celebrated by readers everywhere it won the national book critics circle award the los angeles times book award and the pulitzer prize rarely has a book so swiftly found its place on the literary landscape and now we have tis the story of franks american journey from impoverished immigrant to brilliant teacher and raconteur frank lands in new york at age nineteen and gets a job at the biltmore hotel where he immediately encounters the vivid hierarchies of this classless country and then is drafted into the army and is sent to germany to train dogs and type reports it is franks incomparable voice that renders these experiences spellbinding when frank returns to america in 1953 he works on the docks always resisting what everyone tells him he knows that he should be getting an education and though he left school at fourteen he talks his way into new york university there he falls in love with the quintessential yankee and tries to live his dream but it is not until he starts to teach that frank finds his place in the world,20000,3.68,495.0,44179.0,Tis a memoir Ireland from the pulizer prizewinning author of the 1 new york times bestseller angelas ashes frank mccourts glorious childhood memoir angelas ashes has been loved and celebrated by readers everywhere it won the national book critics circle award the los angeles times book award and the pulitzer prize rarely has a book so swiftly found its place on the literary landscape and now we have tis the story of franks american journey from impoverished immigrant to brilliant teacher and raconteur frank lands in new york at age nineteen and gets a job at the biltmore hotel where he immediately encounters the vivid hierarchies of this classless country and then is drafted into the army and is sent to germany to train dogs and type reports it is franks incomparable voice that renders these experiences spellbinding when frank returns to america in 1953 he works on the docks always resisting what everyone tells him he knows that he should be getting an education and though he left school at fourteen he talks his way into new york university there he falls in love with the quintessential yankee and tries to live his dream but it is not until he starts to teach that frank finds his place in the world,Tis a memoir Ireland from the pulizer prizewinning author of the 1 new york times bestseller angelas ashes frank mccourts glorious childhood memoir angelas ashes has been loved and celebrated by readers everywhere it won the national book critics circle award the los angeles times book award and the pulitzer prize rarely has a book so swiftly found its place on the literary landscape and now we have tis the story of franks american journey from impoverished immigrant to brilliant teacher and raconteur frank lands in new york at age nineteen and gets a job at the biltmore hotel where he immediately encounters the vivid hierarchies of this classless country and then is drafted into the army and is sent to germany to train dogs and type reports it is franks incomparable voice that renders these experiences spellbinding when frank returns to america in 1953 he works on the docks always resisting what everyone tells him he knows that he should be getting an education and though he left school at fourteen he talks his way into new york university there he falls in love with the quintessential yankee and tries to live his dream but it is not until he starts to teach that frank finds his place in the world,Tis
9780006754893,6754899,A Small Pinch of Weather,and other stories,joan aiken,"Children's stories, English",http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a magical and fantastic collection of early stories by one of the most original childrens authors of the 20th century for 811 year olds,20000,4.27,239.0,116.0,"A Small Pinch of Weather and other stories Children's stories, English a magical and fantastic collection of early stories by one of the most original childrens authors of the 20th century for 811 year olds","A Small Pinch of Weather and other stories Children's stories, English a magical and fantastic collection of early stories by one of the most original childrens authors of the 20th century for 811 year olds",A Small Pinch of Weather
9780007105045,7105045,Tree and Leaf,the homecoming of beorhtnoth beorhthelms son,john ronald reuel tolkien,Literary Collections,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,the two works on fairystories and leaf by niggle were first brought together to form the book tree and leaf in 1964 in this new edition a third element is added the poem mythopoeia the making of mythspreface,20010,4.09,176.0,2245.0,Tree and Leaf the homecoming of beorhtnoth beorhthelms son Literary Collections the two works on fairystories and leaf by niggle were first brought together to form the book tree and leaf in 1964 in this new edition a third element is added the poem mythopoeia the making of mythspreface,Tree and Leaf the homecoming of beorhtnoth beorhthelms son Literary Collections the two works on fairystories and leaf by niggle were first brought together to form the book tree and leaf in 1964 in this new edition a third element is added the poem mythopoeia the making of mythspreface,Tree and Leaf
9780007116263,7116268,"The Lord of the Rings, the Return of the King",visual companion,jude fisher,Imaginary wars and battles,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a visual guide to the third in the lord of the rings movie trilogy a largeformat fullcolour guide to the characters places landscapes artefacts battles and costumes as seen in the film it features images informative text and specially commissioned extras,20030,4.59,72.0,22.0,"The Lord of the Rings, the Return of the King visual companion Imaginary wars and battles a visual guide to the third in the lord of the rings movie trilogy a largeformat fullcolour guide to the characters places landscapes artefacts battles and costumes as seen in the film it features images informative text and specially commissioned extras","The Lord of the Rings, the Return of the King visual companion Imaginary wars and battles a visual guide to the third in the lord of the rings movie trilogy a largeformat fullcolour guide to the characters places landscapes artefacts battles and costumes as seen in the film it features images informative text and specially commissioned extras","The Lord of the Rings, the Return of the King"
9780007135653,7135653,The Lord of the Rings,the art of the return of the king,gary russell,Characters and characteristics in motion pictures,http://books.google.com/books/content?id=oEZ6AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,with complete access to artwork created over a fiveyear period this guide illustrates the creative development of the return of the king it contains over 600 images from the earliest pencil sketches and conceptual drawings to magnificent paintings sculptures and digital imagery that shaped the look of the film contributing artists include john howe and alan lee artists who have inspired peter jacksons vision of middleearth and worked with him to bring the trilogy to the big screen peter jackson himself provides the afterword in which he discusses the importance of the conceptual art to the film it covers most aspects of the eagerly awaited finale to the enormously successful trilogy from locations and costumes to weaponry and creatures the artists who created all of these diverse elements explain how they contributed to the development of the film,20040,4.54,224.0,28.0,The Lord of the Rings the art of the return of the king Characters and characteristics in motion pictures with complete access to artwork created over a fiveyear period this guide illustrates the creative development of the return of the king it contains over 600 images from the earliest pencil sketches and conceptual drawings to magnificent paintings sculptures and digital imagery that shaped the look of the film contributing artists include john howe and alan lee artists who have inspired peter jacksons vision of middleearth and worked with him to bring the trilogy to the big screen peter jackson himself provides the afterword in which he discusses the importance of the conceptual art to the film it covers most aspects of the eagerly awaited finale to the enormously successful trilogy from locations and costumes to weaponry and creatures the artists who created all of these diverse elements explain how they contributed to the development of the film,The Lord of the Rings the art of the return of the king Characters and characteristics in motion pictures with complete access to artwork created over a fiveyear period this guide illustrates the creative development of the return of the king it contains over 600 images from the earliest pencil sketches and conceptual drawings to magnificent paintings sculptures and digital imagery that shaped the look of the film contributing artists include john howe and alan lee artists who have inspired peter jacksons vision of middleearth and worked with him to bring the trilogy to the big screen peter jackson himself provides the afterword in which he discusses the importance of the conceptual art to the film it covers most aspects of the eagerly awaited finale to the enormously successful trilogy from locations and costumes to weaponry and creatures the artists who created all of these diverse elements explain how they contributed to the development of the film,The Lord of the Rings
9780007137336,7137338,Lirael,daughter of the clayr,garth nix,Fantasy fiction,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,when a dangerous necromancer threatens to unleash a longburied evil lirael and prince sameth are drawn into a battle to save the old kingdom and reveal their true destinies suggested level secondary,20040,4.3,527.0,1339.0,Lirael daughter of the clayr Fantasy fiction when a dangerous necromancer threatens to unleash a longburied evil lirael and prince sameth are drawn into a battle to save the old kingdom and reveal their true destinies suggested level secondary,Lirael daughter of the clayr Fantasy fiction when a dangerous necromancer threatens to unleash a longburied evil lirael and prince sameth are drawn into a battle to save the old kingdom and reveal their true destinies suggested level secondary,Lirael
